summary_date,site,CO,NO,NO2,O3
2002-04-26,2013,0.404,0.002,0.012,0.029
2002-04-26,2032,0.33,0.004,0.012,0.022
2002-04-26,2045,0.243,0.001,0.004,0.036
2002-04-26,2094,0.343,0.002,0.011,0.032
2002-04-26,2102,0.343,0.003,0.006,0.04
2002-04-26,2105,0.296,0.002,0.007,0.032
2002-04-26,2115,0.252,0.001,0.007,0.035
2002-04-26,2123,0.287,0.001,0.009,0.037
2002-04-26,2125,0.383,0.005,0.005,0.04
2002-04-26,2143,0.209,0.001,0.008,0.034
2002-04-26,2160,0.104,0.004,0.014,0.024
2002-04-26,2166,0.43,0.021,0.017,0.021
2002-04-26,2199,0.226,0.003,0.008,0.036
2002-04-26,2221,0.37,0.004,0.013,0.022
2002-04-26,2249,0.326,0.004,0.012,0.025
2002-04-26,2263,0.35,0.003,0.009,0.026
2002-04-26,2293,0.47,0.002,0.008,0.04
2002-04-26,2329,0.229,0.003,0.006,0.039
2002-04-26,2360,0.274,0.001,0.003,0.044
2002-04-26,2373,0.578,0.003,0.009,0.038
2002-04-26,2410,0.283,0.002,0.005,0.039
2002-04-26,2413,0.491,0.002,0.013,0.033
2002-04-26,2420,0.257,0.005,0.008,0.028
2002-04-26,2429,0.678,0.01,0.017,0.028
2002-04-26,2484,0.352,0.004,0.017,0.019
2002-04-26,2485,0.009,0.003,0.019,0.019
2002-04-26,2492,0.391,0.01,0.022,0.021
2002-04-26,2494,0.317,0.011,0.011,0.03
2002-04-26,2551,0.122,0.0005,0.001,0.038
2002-04-26,2583,0.674,0.021,0.02,0.022
2002-04-26,2589,0.465,0.004,0.006,0.03
2002-04-26,2596,0.53,0.002,0.009,0.027
2002-04-26,2622,0.422,0.008,0.013,0.027
2002-04-26,2655,0.3,0.003,0.008,0.032
2002-04-26,2709,0.5,0.002,0.006,0.036
2002-04-26,2731,0.33,0.001,0.008,0.047
2002-04-26,2831,0.296,0.002,0.007,0.042
2002-04-26,2833,0.165,0.002,0.01,0.03
2002-04-26,2844,0.283,0.001,0.006,0.051
2002-04-26,2880,0.248,0.002,0.006,0.034
2002-04-26,2898,0.504,0.013,0.023,0.012
2002-04-26,2899,0.348,0.007,0.01,0.03
2002-04-26,2923,0.077,0.001,0.012,0.033
2002-04-26,2933,0.83,0.014,0.017,0.024
2002-04-26,2937,0.143,0.001,0.005,0.034
2002-04-26,2943,0.026,0.001,0.005,0.038
2002-04-26,2948,0.43,0.001,0.007,0.034
2002-04-26,2956,0.243,0.001,0.008,0.036
2002-04-26,2958,0.348,0.001,0.009,0.033
2002-04-26,2964,0.491,0.006,0.012,0.026
2002-04-26,2965,0.152,0.002,0.006,0.04
2002-04-26,2991,0.213,0.003,0.007,0.028
2002-04-26,2996,0.3,0.001,0.01,0.037
2002-04-26,3009,0.209,0.002,0.011,0.029
2002-04-26,3011,0.258,0.003,0.013,0.035
2002-04-26,3023,0.139,0.0005,0.0005,0.043
2002-04-26,3026,0.395,0.003,0.008,0.028
2002-04-26,3101,0.2,0.0005,0.001,0.041
2002-04-26,3135,0.323,0.0005,0.003,0.022
2002-04-26,3138,0.643,0.006,0.015,0.018
2002-04-26,3141,0.743,0.008,0.013,0.024
2002-04-26,3145,0.335,0.003,0.014,0.025
2002-04-26,3146,0.23,0.004,0.008,0.033
2002-04-26,3153,0.27,0.001,0.007,0.029
2002-04-26,3173,0.396,0.0005,0.001,0.037
2002-04-26,3183,0.4,0.006,0.01,0.024
2002-04-26,3185,0.371,0.002,0.009,0.026
2002-04-26,3201,0.474,0.004,0.011,0.03
2002-04-26,3203,0.287,0.0005,0.004,0.034
2002-04-26,3207,0.213,0.001,0.005,0.041
2002-04-26,3223,0.248,0.001,0.012,0.032
2002-04-26,3255,0.535,0.008,0.016,0.02
2002-04-26,3487,0.083,0.001,0.002,0.042
2002-04-26,3489,0.404,0.001,0.0005,0.04
2002-04-26,3490,0.287,0.0005,0.005,0.041
2002-04-26,3500,0.495,0.005,0.015,0.026
2002-04-26,3502,0.27,0.004,0.008,0.034
2002-04-26,3508,0.439,0.011,0.018,0.036
2002-04-26,3509,0.487,0.003,0.008,0.035
2002-04-26,3658,0.035,0.003,0.006,0.036
2002-04-26,3659,0.122,0.001,0.008,0.039
2002-04-26,3660,0.261,0.001,0.008,0.038
2002-04-26,3674,0.233,0.001,0.008,0.026
