,summary_date,site,CO,NO,NO2,O3,longitude,latitude,x,y
0,2002-04-26,2013,0.404,0.002,0.012,0.029,-119.74139,36.70556,0.32404502976378313,0.587809621566138
1,2002-04-26,2032,0.33,0.004,0.012,0.022,-119.29095,36.33252,0.3732275806113696,0.5374274060668274
2,2002-04-26,2045,0.243,0.001,0.004,0.036,-118.3703,33.9208,0.4737513250342232,0.211704167904703
3,2002-04-26,2094,0.343,0.002,0.011,0.032,-121.26897,37.95075,0.15725193629127474,0.7559830906782636
4,2002-04-26,2102,0.343,0.003,0.006,0.04,-121.896944,38.029167,0.08868483926178762,0.7665739715296725
5,2002-04-26,2105,0.296,0.002,0.007,0.032,-122.709167,38.443611,0.0,0.8225481483482344
6,2002-04-26,2115,0.252,0.001,0.007,0.035,-121.842224,39.7575,0.09465959546101409,1.0
7,2002-04-26,2123,0.287,0.001,0.009,0.037,-121.38108,38.71209,0.14501089247739787,0.8588085140866
8,2002-04-26,2125,0.383,0.005,0.005,0.04,-122.20348,37.48293,0.05521484901532682,0.6928000324140358
9,2002-04-26,2143,0.209,0.001,0.008,0.034,-121.7734,38.53455,0.10217433633557013,0.8348302314902357
10,2002-04-26,2160,0.104,0.004,0.014,0.024,-118.12714,34.13265,0.5003014295189482,0.2403163069609141
11,2002-04-26,2166,0.43,0.021,0.017,0.021,-118.060504,34.014073,0.5075772674957706,0.22430147753977545
12,2002-04-26,2199,0.226,0.003,0.008,0.036,-116.54099,33.85262,0.6734896522054323,0.2024958807163507
13,2002-04-26,2221,0.37,0.004,0.013,0.022,-117.274063,34.106678,0.5934470270000936,0.2368085681099922
14,2002-04-26,2249,0.326,0.004,0.012,0.025,-117.95259,33.92505,0.5193601593174707,0.21227816644607128
15,2002-04-26,2263,0.35,0.003,0.009,0.026,-117.075327,33.127708,0.6151465728336011,0.10459036762918354
16,2002-04-26,2293,0.47,0.002,0.008,0.04,-121.961944,37.535833,0.08158763251928397,0.6999450311985086
17,2002-04-26,2329,0.229,0.003,0.006,0.039,-122.1939,37.0119,0.05626086810137547,0.629183436427973
18,2002-04-26,2360,0.274,0.001,0.003,0.044,-120.4575,34.63782,0.2458545571426462,0.30854379946516836
19,2002-04-26,2373,0.578,0.003,0.009,0.038,-122.39902,37.76595,0.03386426737795741,0.7310242835147615
20,2002-04-26,2410,0.283,0.002,0.005,0.039,-122.238,38.10251,0.0514456862960773,0.7764795656519277
21,2002-04-26,2413,0.491,0.002,0.013,0.033,-121.887497,37.34,0.08971633637096266,0.6734961238216153
22,2002-04-26,2420,0.257,0.005,0.008,0.028,-118.53275,34.1992,0.4560137675677683,0.24930444882634176
23,2002-04-26,2429,0.678,0.01,0.017,0.028,-118.18916,33.82376,0.49352960240863974,0.19859809297425815
24,2002-04-26,2484,0.352,0.004,0.017,0.019,-117.92392,34.13648,0.5224905734298957,0.24083358094054735
25,2002-04-26,2485,0.009,0.003,0.019,0.019,-117.62906,34.10367,0.5546856869698109,0.23640231220118352
