basin,cnty_abbr,name,prelim_yn,county_name,site,state,latitude,longitude,aqs_id,qa_id,district,met_id,elevation,address,city,zip_code,co2002obs 
GBV,MNO,Mammoth Lakes-Gateway HC,N,Mono,2915,CA,37.645710000000001,-118.96651,060510001,26785,GBU,MTH03,2392,Gateway HC; Mammoth Lakes,Mammoth Lakes                   ,93546,372 
LT ,ED,South Lake Tahoe-Sandy Way,N,El Dorado,2948,CA,38.944978999999996,-119.970609,060170011,09691,ED,SLT16,1905,3337 Sandy Way,South Lake Tahoe                ,96150,8301 
MC ,AMA,Jackson-Clinton Road,N,Amador,2993,CA,38.342606000000004,-120.764426,060050002,03614,AMA,JKS02,390,201 Clinton Road,Jackson                         ,95642,8127 
MC ,CAL,San Andreas-Gold Strike Road,N,Calaveras,3144,CA,38.20185,-120.680277,060090001,05633,CAL,SAD,300,501 Gold Strike Road,San Andreas,95249,8358 
MC ,ED,Echo Summit,N,El Dorado,3487,CA,38.811610000000002,-120.033084,060170012,09695,ED,ESM01,2250,21200 Hwy 50-Little Norway,Echo Summit,95721,8184 
MC ,ED,Placerville-Gold Nugget Way,N,El Dorado,3017,CA,38.725282,-120.821916,060170010,09690,ED,PLA04,612,3111 Gold Nugget Way,Placerville                     ,95667,8355 
MC ,TUO,Sonora-Barretta Street,N,Tuolumne,2968,CA,37.981780000000001,-120.378551,061090005,55930,TUO,SON06,579,251 South Barretta,Sonora                          ,95370,7611 
MD ,LA,Lancaster-43301 Division Street,N,Los Angeles,3658,CA,34.669589999999999,-118.13068,060379033,70301,AV,,750,43301 Division Street,Lancaster                       ,93535,8145 
MD ,SBD,Barstow,N,San Bernardino,2923,CA,34.89405,-117.02471,060710001,36155,MD,BAR01,697,200 East Buena Vista,Barstow,92311,7902 
MD ,SBD,Victorville-14306 Park Avenue,N,San Bernardino,3500,CA,34.510959999999997,-117.32555000000001,060710306,36306,MD,VIC01,913,14306 Park Avenue,Victorville                     ,92392,8157 
MEX,MXM,Mexicali-CBTIS,N,Mexicali Area,3202,MX,32.658299999999997,-115.42700000000001,800020013,,SDU,MML02,1,CBTIS; Calzada Cuauhtemoc,,,3532 
MEX,MXM,Mexicali-Cobach,N,Mexicali Area,3203,MX,32.640300000000003,-115.506,800020014,,SDU,MML03,,Cobach; Colegio De Bachilleres,,,6102 
MEX,MXM,Mexicali-ITM,N,Mexicali Area,3185,MX,32.621400000000001,-115.398,800020010,,SDU,MML05,,Instituto Tecnologico Mexicali,,,6640 
MEX,MXM,Mexicali-UABC,N,Mexicali Area,3201,MX,32.629199999999997,-115.446,800020012,,SDU,MML10,0,UABC; Calzada Benito Juarez,,,8130 
MEX,MXT,Rosarito,N,Tijuana Area,3183,MX,32.353299999999997,-117.056,800020004,,SDU,RRT01,3,3 Blocks east of Boulevard Benito Juarez,,,6199 
MEX,MXT,Tecate-Paseo Morelos,N,Tijuana Area,3255,MX,32.575000000000003,-116.619,800020017,,SDU,TEC01,174,Paseo Morelos S/N Y Rio Lema,,,4891 
MEX,MXT,Tijuana-ITT,N,Tijuana Area,3138,MX,32.530799999999999,-116.98699999999999,800020001,,SDU,TIJ03,,Instituto Tecnologico-Calle de Tecnologico & Chapultepec,,,6561 
MEX,MXT,Tijuana-La Mesa,N,Tijuana Area,3141,MX,32.497500000000002,-116.976,800020003,,SDU,TIJ04,,13891 Cajeme; La Mesa,,,5331 
MEX,MXT,Tijuana-Las Playas,N,Tijuana Area,3178,MX,32.513599999999997,-117.116,800020005,,SDU,TIJ05,,Avenida Parque,,,8023 
NC ,MEN,Ukiah-E Gobbi Street,N,Mendocino,3010,CA,39.145659999999999,-123.20298,060450008,23769,MEN,UKI06,190,306 East Gobbi Street,Ukiah                           ,95482,8206 
NC ,MEN,Willits-899 S Main Street,N,Mendocino,3116,CA,39.404446,-123.34972399999999,060450009,23770,MEN,WLT01,420,899 So Main Street; Willits; CA  95490,Willits                         ,95490,7933 
NCC,MNT,Salinas-High School,N,Monterey,3489,CA,36.694260999999997,-121.623271,060531003,27554,MBU,SNS04,32,867 East Laurel Drive,Salinas                         ,93901,8434 
NCC,SCR,Davenport,N,Santa Cruz,2329,CA,37.011899999999997,-122.1939,060870003,44851,MBU,DVN01,27,Fire Dept; Davenport,Davenport                       ,95017,7811 
OUT,OTH,Stateline-Harveys Hotel,N,Outside Calif,3483,NV,38.956389999999999,-119.94499999999999,320050009,,OUT,STL01,,Harveys Hotel-Stateline,,,8516 
