summary_date,site,no_davg,name,obs_count,units 
2001-04-01,2948,0.002,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2001-04-01,3487,0.001,Echo Summit,23,Parts Per Million ( ppm ) 
2001-04-01,3121,0.001,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2001-04-01,3007,0.002,Lancaster-W Pondera Street,23,Parts Per Million ( ppm ) 
2001-04-01,2923,0.002,Barstow,23,Parts Per Million ( ppm ) 
2001-04-01,3215,0.002,Trona-Athol and Telegraph,24,Parts Per Million ( ppm ) 
2001-04-01,3500,0.001,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2001-04-01,3202,0.003,Mexicali-CBTIS,23,Parts Per Million ( ppm ) 
2001-04-01,3203,0.013,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2001-04-01,3201,0.002,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2001-04-01,3183,0.001,Rosarito,23,Parts Per Million ( ppm ) 
2001-04-01,3255,0.003,Tecate-Paseo Morelos,24,Parts Per Million ( ppm ) 
2001-04-01,3138,0.000,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2001-04-01,3141,0.007,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2001-04-01,3178,0.002,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2001-04-01,3489,0.001,Salinas-High School,23,Parts Per Million ( ppm ) 
2001-04-01,2329,0.005,Davenport,22,Parts Per Million ( ppm ) 
2001-04-01,3481,0.000,Incline Village-846 Tahoe Blvd,23,Parts Per Million ( ppm ) 
2001-04-01,2484,0.001,Azusa,23,Parts Per Million ( ppm ) 
2001-04-01,2492,0.002,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2001-04-01,2849,0.001,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2001-04-01,2045,0.000,Hawthorne,23,Parts Per Million ( ppm ) 
2001-04-01,3508,0.007,Los Angeles-651 Mott Street,22,Parts Per Million ( ppm ) 
2001-04-01,2899,0.000,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2001-04-01,2583,0.017,Lynwood,23,Parts Per Million ( ppm ) 
2001-04-01,2429,0.004,North Long Beach,23,Parts Per Million ( ppm ) 
2001-04-01,2160,0.000,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2001-04-01,2166,0.001,Pico Rivera,23,Parts Per Million ( ppm ) 
2001-04-01,2898,0.007,Pomona,23,Parts Per Million ( ppm ) 
2001-04-01,2420,0.000,Reseda,23,Parts Per Million ( ppm ) 
2001-04-01,2855,0.011,Santa Clarita-County Fire Station,23,Parts Per Million ( ppm ) 
2001-04-01,2494,0.002,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2001-04-01,2623,0.000,Anaheim-Harbor Blvd,23,Parts Per Million ( ppm ) 
2001-04-01,2937,0.000,Costa Mesa-Mesa Verde Drive,24,Parts Per Million ( ppm ) 
2001-04-01,2249,0.002,La Habra,23,Parts Per Million ( ppm ) 
2001-04-01,3168,0.005,Banning Airport,23,Parts Per Million ( ppm ) 
2001-04-01,2943,0.001,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2001-04-01,2596,0.001,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2001-04-01,2266,0.002,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2001-04-01,2221,0.010,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2001-04-01,2485,0.001,Upland,23,Parts Per Million ( ppm ) 
2001-04-01,2965,0.001,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2001-04-01,2671,0.001,Grover City-Lesage Drive,23,Parts Per Million ( ppm ) 
2001-04-01,3251,0.001,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2001-04-01,2709,0.001,San Luis Obispo-Marsh Street,23,Parts Per Million ( ppm ) 
2001-04-01,3003,0.000,Carpinteria-Gobernador Road,22,Parts Per Million ( ppm ) 
2001-04-01,2008,0.001,El Capitan Beach,23,Parts Per Million ( ppm ) 
2001-04-01,2954,0.002,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2001-04-01,3153,0.001,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2001-04-01,3101,0.000,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2001-04-01,2992,0.000,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2001-04-01,2360,0.000,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2001-04-01,2957,0.000,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2001-04-01,3486,0.004,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2001-04-01,3023,0.000,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2001-04-01,2991,0.000,El Rio-Rio Mesa School #2,22,Parts Per Million ( ppm ) 
2001-04-01,3172,0.000,Ojai-Ojai Avenue,23,Parts Per Million ( ppm ) 
2001-04-01,2880,0.000,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2001-04-01,2984,0.000,Thousand Oaks-Moorpark Road,23,Parts Per Million ( ppm ) 
2001-04-01,2756,0.000,Ventura County-W Casitas Pass Road,22,Parts Per Million ( ppm ) 
2001-04-01,2088,0.000,Ventura-Emma Wood State Beach,23,Parts Per Million ( ppm ) 
2001-04-01,2460,0.002,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2001-04-01,3198,0.001,Camp Pendleton,24,Parts Per Million ( ppm ) 
2001-04-01,2589,0.000,Chula Vista,23,Parts Per Million ( ppm ) 
2001-04-01,2327,0.001,El Cajon-Redwood Avenue,23,Parts Per Million ( ppm ) 
2001-04-01,2263,0.001,Escondido-E Valley Parkway,24,Parts Per Million ( ppm ) 
2001-04-01,2897,0.001,Oceanside-Mission Avenue,24,Parts Per Million ( ppm ) 
2001-04-01,2933,0.003,Otay Mesa-Paseo International,23,Parts Per Million ( ppm ) 
2001-04-01,2964,0.001,San Diego-12th Avenue,23,Parts Per Million ( ppm ) 
2001-04-01,2040,0.002,San Diego-Overland Avenue,23,Parts Per Million ( ppm ) 
2001-04-01,2293,0.001,Fremont-Chapel Way,23,Parts Per Million ( ppm ) 
2001-04-01,3490,0.001,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2001-04-01,2804,0.001,Bethel Island Road,23,Parts Per Million ( ppm ) 
2001-04-01,2831,0.001,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2001-04-01,2102,0.001,Pittsburg-10th Street,22,Parts Per Million ( ppm ) 
2001-04-01,3207,0.001,San Pablo-El Portal,23,Parts Per Million ( ppm ) 
2001-04-01,2622,0.004,San Rafael,23,Parts Per Million ( ppm ) 
2001-04-01,2655,0.002,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
