summary_date,site,monitor,pm25_davg,name,obs_count 
2002-01-08,3154,B,5.0,Keeler-Cerro Gordo Road,24 
2002-01-08,3154,A,5.0,Keeler-Cerro Gordo Road,24 
2002-01-08,2914,A,4.8,Lakeport-Lakeport Blvd,24 
2002-01-08,2948,A,7.0,South Lake Tahoe-Sandy Way,24 
2002-01-08,2948,B,7.0,South Lake Tahoe-Sandy Way,24 
2002-01-08,3144,A,14.0,San Andreas-Gold Strike Road,24 
2002-01-08,2208,A,11.0,Truckee-Fire Station,24 
2002-01-08,2208,B,12.0,Truckee-Fire Station,24 
2002-01-08,3494,A,33.0,Portola-161 Nevada Street,24 
2002-01-08,3020,A,19.0,Quincy-N Church Street,24 
2002-01-08,3492,A,7.7,Ridgecrest-100 West California Avenue,24 
2002-01-08,3658,A,15.0,Lancaster-43301 Division Street,24 
2002-01-08,3500,A,15.0,Victorville-14306 Park Avenue,24 
2002-01-08,2386,A,9.7,Eureka-I Street,24 
2002-01-08,2271,B,4.1,Ukiah-County Library,24 
2002-01-08,2271,A,4.3,Ukiah-County Library,24 
2002-01-08,3489,B,7.3,Salinas-High School,24 
2002-01-08,3489,A,7.9,Salinas-High School,24 
2002-01-08,3200,A,11.8,Santa Cruz AMS,24 
2002-01-08,3482,A,1.0,Cave Rock State Park,24 
2002-01-08,3481,A,4.0,Incline Village-846 Tahoe Blvd,24 
2002-01-08,2484,A,17.2,Azusa,24 
2002-01-08,2492,A,21.0,Burbank-W Palm Avenue,24 
2002-01-08,3508,A,22.4,Los Angeles-651 Mott Street,24 
2002-01-08,2899,A,20.5,Los Angeles-North Main Street,24 
2002-01-08,2583,A,31.3,Lynwood,24 
2002-01-08,2429,A,31.4,North Long Beach,24 
2002-01-08,2160,A,14.5,Pasadena-S Wilson Avenue,24 
2002-01-08,2166,A,33.0,Pico Rivera,24 
2002-01-08,2420,A,17.8,Reseda,24 
2002-01-08,3509,A,37.7,Wilmington-1115 N.Mahar Avenue,23 
2002-01-08,3674,A,37.4,Anaheim-Pampas Lane,24 
2002-01-08,3265,A,21.8,Mission Viejo-26081 Via Pera,24 
2002-01-08,2333,A,30.7,Riverside-Magnolia,24 
2002-01-08,2596,A,31.9,Riverside-Rubidoux,24 
2002-01-08,3266,A,14.0,Big Bear City-501 W. Valley Blvd,24 
2002-01-08,2266,A,26.7,Fontana-Arrow Highway,24 
