summary_date,site,no2_davg,name,obs_count,units 
2004-01-15,2948,0.019,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2004-01-15,3487,0.003,Echo Summit,23,Parts Per Million ( ppm ) 
2004-01-15,3121,0.014,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2004-01-15,3658,0.023,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2004-01-15,2923,0.037,Barstow,22,Parts Per Million ( ppm ) 
2004-01-15,3215,0.008,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2004-01-15,3500,0.028,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2004-01-15,3185,0.031,Mexicali-ITM,22,Parts Per Million ( ppm ) 
2004-01-15,3201,0.033,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2004-01-15,3183,0.020,Rosarito,23,Parts Per Million ( ppm ) 
2004-01-15,3138,0.028,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2004-01-15,3141,0.030,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2004-01-15,3178,0.013,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2004-01-15,3010,0.011,Ukiah-E Gobbi Street,22,Parts Per Million ( ppm ) 
2004-01-15,3116,0.010,Willits-899 S Main Street,22,Parts Per Million ( ppm ) 
2004-01-15,3489,0.007,Salinas-High School,23,Parts Per Million ( ppm ) 
2004-01-15,2329,0.009,Davenport,24,Parts Per Million ( ppm ) 
2004-01-15,2484,0.026,Azusa,23,Parts Per Million ( ppm ) 
2004-01-15,2492,0.050,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2004-01-15,2849,0.029,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2004-01-15,2045,0.048,Hawthorne,23,Parts Per Million ( ppm ) 
2004-01-15,2899,0.045,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2004-01-15,2583,0.035,Lynwood,23,Parts Per Million ( ppm ) 
2004-01-15,2429,0.033,North Long Beach,23,Parts Per Million ( ppm ) 
2004-01-15,2160,0.037,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2004-01-15,2166,0.040,Pico Rivera,23,Parts Per Million ( ppm ) 
2004-01-15,2898,0.038,Pomona,18,Parts Per Million ( ppm ) 
2004-01-15,3502,0.019,Santa Clarita,23,Parts Per Million ( ppm ) 
2004-01-15,2494,0.042,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2004-01-15,3674,0.033,Anaheim-Pampas Lane,23,Parts Per Million ( ppm ) 
2004-01-15,2937,0.029,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2004-01-15,2249,0.030,La Habra,23,Parts Per Million ( ppm ) 
2004-01-15,3168,0.028,Banning Airport,23,Parts Per Million ( ppm ) 
2004-01-15,2943,0.024,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2004-01-15,2596,0.028,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2004-01-15,2266,0.035,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2004-01-15,2221,0.027,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2004-01-15,2485,0.038,Upland,23,Parts Per Million ( ppm ) 
2004-01-15,2965,0.012,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2004-01-15,2671,0.011,Grover City-Lesage Drive,23,Parts Per Million ( ppm ) 
2004-01-15,2321,0.006,Morro Bay,23,Parts Per Million ( ppm ) 
2004-01-15,3251,0.005,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2004-01-15,2709,0.007,San Luis Obispo-Marsh Street,23,Parts Per Million ( ppm ) 
2004-01-15,3003,0.002,Carpinteria-Gobernador Road,22,Parts Per Million ( ppm ) 
2004-01-15,2008,0.008,El Capitan Beach,23,Parts Per Million ( ppm ) 
2004-01-15,3153,0.012,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2004-01-15,3101,0.002,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2004-01-15,2992,0.003,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2004-01-15,2360,0.006,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2004-01-15,2957,0.002,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2004-01-15,3665,0.027,Santa Barbara-700 East Canon Perdido,22,Parts Per Million ( ppm ) 
2004-01-15,3023,0.005,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2004-01-15,2991,0.020,El Rio-Rio Mesa School #2,22,Parts Per Million ( ppm ) 
2004-01-15,3172,0.009,Ojai-Ojai Avenue,23,Parts Per Million ( ppm ) 
2004-01-15,2880,0.017,Simi Valley-Cochran Street,22,Parts Per Million ( ppm ) 
2004-01-15,2984,0.023,Thousand Oaks-Moorpark Road,23,Parts Per Million ( ppm ) 
2004-01-15,2088,0.016,Ventura-Emma Wood State Beach,22,Parts Per Million ( ppm ) 
2004-01-15,2460,0.018,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2004-01-15,3198,0.025,Camp Pendleton,22,Parts Per Million ( ppm ) 
2004-01-15,2589,0.027,Chula Vista,23,Parts Per Million ( ppm ) 
2004-01-15,2327,0.027,El Cajon-Redwood Avenue,23,Parts Per Million ( ppm ) 
2004-01-15,2263,0.026,Escondido-E Valley Parkway,23,Parts Per Million ( ppm ) 
2004-01-15,2933,0.030,Otay Mesa-Paseo International,21,Parts Per Million ( ppm ) 
2004-01-15,2964,0.030,San Diego-12th Avenue,23,Parts Per Million ( ppm ) 
2004-01-15,2040,0.030,San Diego-Overland Avenue,23,Parts Per Million ( ppm ) 
2004-01-15,2293,0.025,Fremont-Chapel Way,23,Parts Per Million ( ppm ) 
2004-01-15,3490,0.019,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2004-01-15,2804,0.010,Bethel Island Road,23,Parts Per Million ( ppm ) 
2004-01-15,2831,0.019,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2004-01-15,2102,0.018,Pittsburg-10th Street,23,Parts Per Million ( ppm ) 
2004-01-15,3668,0.021,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2004-01-15,2622,0.020,San Rafael,23,Parts Per Million ( ppm ) 
2004-01-15,2655,0.016,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2004-01-15,2373,0.025,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2004-01-15,2125,0.020,Redwood City,23,Parts Per Million ( ppm ) 
2004-01-15,2410,0.017,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2004-01-15,2105,0.017,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2004-01-15,3026,0.023,Clovis-N Villa Avenue,23,Parts Per Million ( ppm ) 
2004-01-15,3009,0.022,Fresno-1st Street,23,Parts Per Million ( ppm ) 
2004-01-15,2013,0.018,Fresno-Drummond Street,23,Parts Per Million ( ppm ) 
2004-01-15,2844,0.018,Fresno-Sierra Skypark #2,23,Parts Per Million ( ppm ) 
2004-01-15,2114,0.014,Parlier,23,Parts Per Million ( ppm ) 
2004-01-15,2941,0.020,Arvin-Bear Mountain Blvd,23,Parts Per Million ( ppm ) 
2004-01-15,3146,0.029,Bakersfield-5558 California Avenue,23,Parts Per Million ( ppm ) 
2004-01-15,2312,0.025,Edison,23,Parts Per Million ( ppm ) 
2004-01-15,2772,0.021,Oildale-3311 Manor Street,23,Parts Per Million ( ppm ) 
2004-01-15,2981,0.018,Shafter-Walker Street,21,Parts Per Million ( ppm ) 
2004-01-15,3129,0.012,Hanford-S Irwin Street,23,Parts Per Million ( ppm ) 
2004-01-15,3022,0.014,Merced-S Coffee Avenue,23,Parts Per Million ( ppm ) 
2004-01-15,2094,0.017,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2004-01-15,3159,0.019,Tracy-24371 Patterson Pass Road,23,Parts Per Million ( ppm ) 
2004-01-15,2833,0.019,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2004-01-15,2996,0.017,Turlock-S Minaret Street,18,Parts Per Million ( ppm ) 
2004-01-15,2032,0.017,Visalia-N Church Street,23,Parts Per Million ( ppm ) 
2004-01-15,3173,0.024,Calexico-East,23,Parts Per Million ( ppm ) 
2004-01-15,3135,0.023,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2004-01-15,2551,0.027,El Centro-9th Street,19,Parts Per Million ( ppm ) 
2004-01-15,2199,0.030,Palm Springs-Fire Station,23,Parts Per Million ( ppm ) 
2004-01-15,2115,0.013,Chico-Manzanita Avenue,23,Parts Per Million ( ppm ) 
2004-01-15,2956,0.015,Roseville-N Sunrise Blvd,23,Parts Per Million ( ppm ) 
2004-01-15,2977,0.011,Elk Grove-Bruceville Road,23,Parts Per Million ( ppm ) 
2004-01-15,3187,0.010,Folsom-Natoma Street,23,Parts Per Million ( ppm ) 
2004-01-15,2123,0.016,North Highlands-Blackfoot Way,22,Parts Per Million ( ppm ) 
2004-01-15,3223,0.020,Sacramento-3801 Airport Road,23,Parts Per Million ( ppm ) 
2004-01-15,3011,0.019,Sacramento-T Street,23,Parts Per Million ( ppm ) 
2004-01-15,2958,0.015,Yuba City-Almond Street,21,Parts Per Million ( ppm ) 
2004-01-15,2143,0.013,Davis-UCD Campus,22,Parts Per Million ( ppm ) 
2004-01-16,2948,0.025,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2004-01-16,3487,0.005,Echo Summit,23,Parts Per Million ( ppm ) 
2004-01-16,3121,0.022,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2004-01-16,3658,0.024,Lancaster-43301 Division Street,22,Parts Per Million ( ppm ) 
2004-01-16,2923,0.036,Barstow,22,Parts Per Million ( ppm ) 
2004-01-16,3215,0.009,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2004-01-16,3500,0.029,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2004-01-16,3185,0.036,Mexicali-ITM,23,Parts Per Million ( ppm ) 
2004-01-16,3201,0.039,Mexicali-UABC,23,Parts Per Million ( ppm ) 
2004-01-16,3183,0.013,Rosarito,23,Parts Per Million ( ppm ) 
2004-01-16,3138,0.021,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2004-01-16,3141,0.035,Tijuana-La Mesa,23,Parts Per Million ( ppm ) 
2004-01-16,3178,0.014,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2004-01-16,3010,0.009,Ukiah-E Gobbi Street,22,Parts Per Million ( ppm ) 
2004-01-16,3116,0.006,Willits-899 S Main Street,22,Parts Per Million ( ppm ) 
2004-01-16,3489,0.012,Salinas-High School,24,Parts Per Million ( ppm ) 
2004-01-16,2329,0.005,Davenport,24,Parts Per Million ( ppm ) 
2004-01-16,2484,0.037,Azusa,23,Parts Per Million ( ppm ) 
2004-01-16,2492,0.043,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2004-01-16,2849,0.038,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2004-01-16,2045,0.023,Hawthorne,23,Parts Per Million ( ppm ) 
2004-01-16,2899,0.038,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2004-01-16,2583,0.027,Lynwood,23,Parts Per Million ( ppm ) 
2004-01-16,2429,0.030,North Long Beach,21,Parts Per Million ( ppm ) 
2004-01-16,2166,0.037,Pico Rivera,23,Parts Per Million ( ppm ) 
2004-01-16,2898,0.039,Pomona,19,Parts Per Million ( ppm ) 
2004-01-16,2420,0.037,Reseda,23,Parts Per Million ( ppm ) 
2004-01-16,3502,0.030,Santa Clarita,23,Parts Per Million ( ppm ) 
2004-01-16,2494,0.023,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2004-01-16,3674,0.029,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2004-01-16,2937,0.022,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2004-01-16,2249,0.030,La Habra,23,Parts Per Million ( ppm ) 
2004-01-16,3168,0.037,Banning Airport,23,Parts Per Million ( ppm ) 
2004-01-16,2943,0.034,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2004-01-16,2596,0.034,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2004-01-16,2266,0.046,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2004-01-16,2221,0.039,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2004-01-16,2485,0.046,Upland,23,Parts Per Million ( ppm ) 
2004-01-16,2965,0.006,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2004-01-16,2671,0.009,Grover City-Lesage Drive,23,Parts Per Million ( ppm ) 
2004-01-16,2321,0.005,Morro Bay,23,Parts Per Million ( ppm ) 
2004-01-16,3251,0.009,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2004-01-16,2709,0.006,San Luis Obispo-Marsh Street,23,Parts Per Million ( ppm ) 
2004-01-16,3003,0.008,Carpinteria-Gobernador Road,22,Parts Per Million ( ppm ) 
2004-01-16,2008,0.011,El Capitan Beach,23,Parts Per Million ( ppm ) 
2004-01-16,3153,0.018,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2004-01-16,3101,0.007,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2004-01-16,2992,0.004,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2004-01-16,2360,0.009,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2004-01-16,2957,0.003,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2004-01-16,3665,0.024,Santa Barbara-700 East Canon Perdido,22,Parts Per Million ( ppm ) 
2004-01-16,3023,0.003,Vandenberg Air Force Base-STS Power,22,Parts Per Million ( ppm ) 
2004-01-16,2991,0.018,El Rio-Rio Mesa School #2,22,Parts Per Million ( ppm ) 
2004-01-16,3172,0.011,Ojai-Ojai Avenue,23,Parts Per Million ( ppm ) 
2004-01-16,2880,0.023,Simi Valley-Cochran Street,22,Parts Per Million ( ppm ) 
2004-01-16,2984,0.021,Thousand Oaks-Moorpark Road,23,Parts Per Million ( ppm ) 
2004-01-16,2088,0.017,Ventura-Emma Wood State Beach,23,Parts Per Million ( ppm ) 
2004-01-16,2460,0.023,Alpine-Victoria Drive,23,Parts Per Million ( ppm ) 
2004-01-16,3198,0.016,Camp Pendleton,24,Parts Per Million ( ppm ) 
2004-01-16,2589,0.023,Chula Vista,22,Parts Per Million ( ppm ) 
2004-01-16,2327,0.024,El Cajon-Redwood Avenue,23,Parts Per Million ( ppm ) 
2004-01-16,2263,0.023,Escondido-E Valley Parkway,24,Parts Per Million ( ppm ) 
2004-01-16,2933,0.024,Otay Mesa-Paseo International,22,Parts Per Million ( ppm ) 
2004-01-16,2964,0.026,San Diego-12th Avenue,23,Parts Per Million ( ppm ) 
2004-01-16,2040,0.025,San Diego-Overland Avenue,23,Parts Per Million ( ppm ) 
2004-01-16,2293,0.015,Fremont-Chapel Way,23,Parts Per Million ( ppm ) 
2004-01-16,3490,0.015,Livermore-793 Rincon Avenue,21,Parts Per Million ( ppm ) 
2004-01-16,2804,0.011,Bethel Island Road,22,Parts Per Million ( ppm ) 
2004-01-16,2831,0.017,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2004-01-16,2102,0.016,Pittsburg-10th Street,23,Parts Per Million ( ppm ) 
2004-01-16,3668,0.019,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2004-01-16,2622,0.018,San Rafael,23,Parts Per Million ( ppm ) 
2004-01-16,2655,0.016,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2004-01-16,2373,0.021,San Francisco-Arkansas Street,21,Parts Per Million ( ppm ) 
2004-01-16,2125,0.016,Redwood City,23,Parts Per Million ( ppm ) 
2004-01-16,2410,0.016,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2004-01-16,2105,0.017,Santa Rosa-5th Street,23,Parts Per Million ( ppm ) 
2004-01-16,3026,0.014,Clovis-N Villa Avenue,23,Parts Per Million ( ppm ) 
2004-01-16,3009,0.013,Fresno-1st Street,23,Parts Per Million ( ppm ) 
2004-01-16,2013,0.013,Fresno-Drummond Street,23,Parts Per Million ( ppm ) 
