summary_date,site,co_davg,name,obs_count,units 
2012-08-22,2923,0.117,Barstow,23,Parts Per Million ( ppm ) 
2012-08-22,3500,0.317,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2012-08-22,3138,0.428,Tijuana-ITT,22,Parts Per Million ( ppm ) 
2012-08-22,3779,0.350,Eureka-Humboldt Hill                    ,24,Parts Per Million ( ppm ) 
2012-08-22,3489,0.200,Salinas-High School,23,Parts Per Million ( ppm ) 
2012-08-22,2484,0.246,Azusa,21,Parts Per Million ( ppm ) 
2012-08-22,3743,0.354,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
2012-08-22,2849,0.265,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2012-08-22,2899,0.401,Los Angeles-North Main Street,22,Parts Per Million ( ppm ) 
2012-08-22,3683,0.345,Los Angeles-Westchester Parkway,22,Parts Per Million ( ppm ) 
2012-08-22,2429,0.280,North Long Beach,23,Parts Per Million ( ppm ) 
2012-08-22,2160,0.304,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2012-08-22,3693,0.136,Pico Rivera-4144 San Gabriel,22,Parts Per Million ( ppm ) 
2012-08-22,2898,0.160,Pomona,22,Parts Per Million ( ppm ) 
2012-08-22,2420,0.075,Reseda,22,Parts Per Million ( ppm ) 
2012-08-22,3502,0.101,Santa Clarita,22,Parts Per Million ( ppm ) 
2012-08-22,2494,0.226,West Los Angeles-VA Hospital,22,Parts Per Million ( ppm ) 
2012-08-22,3674,0.193,Anaheim-Pampas Lane,21,Parts Per Million ( ppm ) 
2012-08-22,2249,0.175,La Habra,22,Parts Per Million ( ppm ) 
2012-08-22,3265,0.178,Mission Viejo-26081 Via Pera,23,Parts Per Million ( ppm ) 
2012-08-22,2943,0.068,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2012-08-22,3702,0.077,Mira Loma Van Buren,23,Parts Per Million ( ppm ) 
2012-08-22,2333,0.262,Riverside-Magnolia,22,Parts Per Million ( ppm ) 
2012-08-22,2596,0.227,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2012-08-22,2221,0.395,San Bernardino-4th Street,22,Parts Per Million ( ppm ) 
2012-08-22,2485,0.292,Upland,21,Parts Per Million ( ppm ) 
2012-08-22,3153,0.252,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2012-08-22,3101,0.100,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2012-08-22,2360,0.300,Lompoc-S H Street,18,Parts Per Million ( ppm ) 
2012-08-22,3023,0.143,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2012-08-22,2327,0.207,El Cajon-Redwood Avenue,23,Parts Per Million ( ppm ) 
2012-08-22,2263,0.330,Escondido-E Valley Parkway,23,Parts Per Million ( ppm ) 
2012-08-22,3690,0.352,San Diego-1110 Beardsley Street,23,Parts Per Million ( ppm ) 
