summary_date,site,ozone_davg,name,obs_count,units 
2017-10-08,2116,0.033,Bishop-White Mountain Research Center,24,Parts Per Million ( ppm ) 
2017-10-08,3151,0.039,Death Valley Natl Monument,24,Parts Per Million ( ppm ) 
2017-10-08,3834,0.031,Lakeport-S. Main Street                 ,23,Parts Per Million ( ppm ) 
2017-10-08,3802,0.035,Tahoe City-221 Fairway Drive,24,Parts Per Million ( ppm ) 
2017-10-08,2993,0.031,Jackson-Clinton Road,23,Parts Per Million ( ppm ) 
2017-10-08,3144,0.038,San Andreas-Gold Strike Road,23,Parts Per Million ( ppm ) 
2017-10-08,3196,0.040,Cool-Highway 193,23,Parts Per Million ( ppm ) 
2017-10-08,3487,0.042,Echo Summit,23,Parts Per Million ( ppm ) 
2017-10-08,3017,0.043,Placerville-Gold Nugget Way,23,Parts Per Million ( ppm ) 
2017-10-08,3161,0.051,Jerseydale - 6440 Jerseydale,23,Parts Per Million ( ppm ) 
2017-10-08,3018,0.042,Yosemite Natl Park-Turtleback Dome,24,Parts Per Million ( ppm ) 
2017-10-08,3126,0.052,Grass Valley-Litton Building,24,Parts Per Million ( ppm ) 
2017-10-08,3002,0.042,Colfax-City Hall,23,Parts Per Million ( ppm ) 
2017-10-08,2968,0.041,Sonora-Barretta Street,23,Parts Per Million ( ppm ) 
2017-10-08,3121,0.064,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2017-10-08,3658,0.057,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2017-10-08,3732,0.043,Joshua Tree National Park-Pinto Wells,24,Parts Per Million ( ppm ) 
2017-10-08,2923,0.043,Barstow,23,Parts Per Million ( ppm ) 
2017-10-08,2650,0.059,Hesperia-Olive Street,22,Parts Per Million ( ppm ) 
2017-10-08,3152,0.066,Joshua Tree NP - Black Rock,24,Parts Per Million ( ppm ) 
2017-10-08,3733,0.053,Mojave National Preserve,24,Parts Per Million ( ppm ) 
2017-10-08,2830,0.059,Phelan-Beekley Road and Phelan Road,22,Parts Per Million ( ppm ) 
2017-10-08,3215,0.040,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2017-10-08,3124,0.037,Twentynine Palms-Adobe Road #2,22,Parts Per Million ( ppm ) 
2017-10-08,3500,0.058,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2017-10-08,3779,0.031,Eureka-Humboldt Hill                    ,20,Parts Per Million ( ppm ) 
2017-10-08,3716,0.024,Eureka-Jacobs,20,Parts Per Million ( ppm ) 
2017-10-08,3010,0.035,Ukiah-E Gobbi Street,23,Parts Per Million ( ppm ) 
2017-10-08,3033,0.042,Healdsburg-Municipal Airport,22,Parts Per Million ( ppm ) 
2017-10-08,2016,0.031,Carmel Valley-Ford Road,24,Parts Per Million ( ppm ) 
2017-10-08,3726,0.028,King City-415 Pearl Street,24,Parts Per Million ( ppm ) 
2017-10-08,3489,0.029,Salinas-High School,24,Parts Per Million ( ppm ) 
2017-10-08,2628,0.033,Hollister-Fairview Road,24,Parts Per Million ( ppm ) 
2017-10-08,2983,0.040,Pinnacles National Monument,24,Parts Per Million ( ppm ) 
2017-10-08,3200,0.025,Santa Cruz AMS,24,Parts Per Million ( ppm ) 
2017-10-08,2752,0.028,Yreka-Foothill Drive,23,Parts Per Million ( ppm ) 
2017-10-08,2484,0.042,Azusa,24,Parts Per Million ( ppm ) 
2017-10-08,3743,0.043,Compton-700 North Bullis Road,24,Parts Per Million ( ppm ) 
2017-10-08,2849,0.046,Glendora-Laurel,24,Parts Per Million ( ppm ) 
2017-10-08,2899,0.038,Los Angeles-North Main Street,24,Parts Per Million ( ppm ) 
2017-10-08,3683,0.039,Los Angeles-Westchester Parkway,24,Parts Per Million ( ppm ) 
2017-10-08,2160,0.039,Pasadena-S Wilson Avenue,24,Parts Per Million ( ppm ) 
2017-10-08,3693,0.031,Pico Rivera-4144 San Gabriel,24,Parts Per Million ( ppm ) 
2017-10-08,2898,0.038,Pomona,24,Parts Per Million ( ppm ) 
2017-10-08,2420,0.038,Reseda,24,Parts Per Million ( ppm ) 
2017-10-08,3502,0.045,Santa Clarita,24,Parts Per Million ( ppm ) 
2017-10-08,3674,0.039,Anaheim-Pampas Lane,24,Parts Per Million ( ppm ) 
2017-10-08,2249,0.034,La Habra,24,Parts Per Million ( ppm ) 
2017-10-08,3265,0.044,Mission Viejo-26081 Via Pera,24,Parts Per Million ( ppm ) 
2017-10-08,3168,0.056,Banning Airport,24,Parts Per Million ( ppm ) 
2017-10-08,2943,0.043,Lake Elsinore-W Flint Street,24,Parts Per Million ( ppm ) 
2017-10-08,3702,0.033,Mira Loma Van Buren,24,Parts Per Million ( ppm ) 
2017-10-08,2525,0.037,Perris,24,Parts Per Million ( ppm ) 
2017-10-08,2596,0.034,Riverside-Rubidoux,24,Parts Per Million ( ppm ) 
2017-10-08,3777,0.055,Winchester-33700 Borel Road             ,24,Parts Per Million ( ppm ) 
2017-10-08,2499,0.068,Crestline,24,Parts Per Million ( ppm ) 
2017-10-08,2266,0.038,Fontana-Arrow Highway,24,Parts Per Million ( ppm ) 
2017-10-08,2077,0.058,Redlands-Dearborn,24,Parts Per Million ( ppm ) 
2017-10-08,2221,0.043,San Bernardino-4th Street,24,Parts Per Million ( ppm ) 
2017-10-08,2485,0.044,Upland,24,Parts Per Million ( ppm ) 
2017-10-08,3812,0.036,Atascadero-Lift Station #5              ,23,Parts Per Million ( ppm ) 
2017-10-08,3694,0.044,Carrisa Plains School,23,Parts Per Million ( ppm ) 
2017-10-08,2321,0.024,Morro Bay,23,Parts Per Million ( ppm ) 
2017-10-08,3251,0.026,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2017-10-08,2955,0.038,Paso Robles-Santa Fe Avenue,23,Parts Per Million ( ppm ) 
2017-10-08,3495,0.054,Red Hills,23,Parts Per Million ( ppm ) 
2017-10-08,3688,0.024,San Luis Obispo-3220 South Higuera St,23,Parts Per Million ( ppm ) 
2017-10-08,3003,0.025,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2017-10-08,2008,0.036,El Capitan Beach,23,Parts Per Million ( ppm ) 
2017-10-08,2954,0.025,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2017-10-08,3153,0.028,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2017-10-08,3101,0.044,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2017-10-08,2992,0.031,Lompoc-HSandP,23,Parts Per Million ( ppm ) 
2017-10-08,2360,0.025,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2017-10-08,2957,0.031,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2017-10-08,3665,0.035,Santa Barbara-700 East Canon Perdido,24,Parts Per Million ( ppm ) 
2017-10-08,3486,0.022,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2017-10-08,2593,0.026,Santa Ynez-Airport Road,23,Parts Per Million ( ppm ) 
2017-10-08,3023,0.041,Vandenberg Air Force Base-STS Power,23,Parts Per Million ( ppm ) 
2017-10-08,2991,0.037,El Rio-Rio Mesa School #2,23,Parts Per Million ( ppm ) 
2017-10-08,3172,0.035,Ojai-Ojai Avenue,24,Parts Per Million ( ppm ) 
2017-10-08,3505,0.043,Piru-3301 Pacific Avenue,23,Parts Per Million ( ppm ) 
2017-10-08,2880,0.049,Simi Valley-Cochran Street,23,Parts Per Million ( ppm ) 
2017-10-08,2984,0.041,Thousand Oaks-Moorpark Road,24,Parts Per Million ( ppm ) 
2017-10-08,2460,0.058,Alpine-Victoria Drive,22,Parts Per Million ( ppm ) 
2017-10-08,3198,0.042,Camp Pendleton,22,Parts Per Million ( ppm ) 
2017-10-08,2589,0.041,Chula Vista,22,Parts Per Million ( ppm ) 
2017-10-08,3829,0.040,El Cajon-Lexington Elementary School    ,21,Parts Per Million ( ppm ) 
2017-10-08,3739,0.042,Otay Mesa-Donovan,22,Parts Per Million ( ppm ) 
2017-10-08,3766,0.044,San Diego-Kearny Villa Road,22,Parts Per Million ( ppm ) 
2017-10-08,3828,0.024,Berkeley-Aquatic Park                   ,19,Parts Per Million ( ppm ) 
2017-10-08,2806,0.037,Hayward-La Mesa,23,Parts Per Million ( ppm ) 
2017-10-08,3490,0.031,Livermore-793 Rincon Avenue,23,Parts Per Million ( ppm ) 
2017-10-08,3247,0.024,Oakland-9925 International Blvd,23,Parts Per Million ( ppm ) 
2017-10-08,3742,0.026,Oakland-West,23,Parts Per Million ( ppm ) 
2017-10-08,2804,0.033,Bethel Island Road,23,Parts Per Million ( ppm ) 
2017-10-08,2831,0.031,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2017-10-08,3668,0.030,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2017-10-08,3782,0.030,San Ramon-9885 Alcosta Bl               ,23,Parts Per Million ( ppm ) 
2017-10-08,2622,0.031,San Rafael,23,Parts Per Million ( ppm ) 
2017-10-08,2655,0.028,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2017-10-08,2373,0.024,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2017-10-08,2125,0.025,Redwood City,23,Parts Per Million ( ppm ) 
2017-10-08,2320,0.031,Gilroy-9th Street,23,Parts Per Million ( ppm ) 
2017-10-08,2613,0.029,Los Gatos,23,Parts Per Million ( ppm ) 
2017-10-08,3661,0.023,San Jose-Jackson Street,22,Parts Per Million ( ppm ) 
2017-10-08,3140,0.030,San Martin-Murphy Avenue,23,Parts Per Million ( ppm ) 
2017-10-08,3415,0.035,Fairfield-Chadbourne Road,23,Parts Per Million ( ppm ) 
2017-10-08,2410,0.030,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2017-10-08,3804,0.031,Sebastopol-103 Morris Street            ,23,Parts Per Million ( ppm ) 
