summary_date,site,no_davg,name,obs_count,units 
2001-12-22,2948,0.002,South Lake Tahoe-Sandy Way,23,Parts Per Million ( ppm ) 
2001-12-22,3121,0.002,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2001-12-22,3658,0.008,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2001-12-22,2923,0.030,Barstow,23,Parts Per Million ( ppm ) 
2001-12-22,3500,0.022,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2001-12-22,3203,0.101,Mexicali-Cobach,23,Parts Per Million ( ppm ) 
2001-12-22,3185,0.079,Mexicali-ITM,23,Parts Per Million ( ppm ) 
2001-12-22,3138,0.017,Tijuana-ITT,23,Parts Per Million ( ppm ) 
2001-12-22,3141,0.058,Tijuana-La Mesa,18,Parts Per Million ( ppm ) 
2001-12-22,3178,0.003,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2001-12-22,3489,0.001,Salinas-High School,23,Parts Per Million ( ppm ) 
2001-12-22,2329,0.001,Davenport,22,Parts Per Million ( ppm ) 
2001-12-22,3481,0.003,Incline Village-846 Tahoe Blvd,23,Parts Per Million ( ppm ) 
2001-12-22,2484,0.017,Azusa,23,Parts Per Million ( ppm ) 
2001-12-22,2492,0.098,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2001-12-22,2849,0.011,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2001-12-22,2045,0.122,Hawthorne,23,Parts Per Million ( ppm ) 
2001-12-22,3508,0.108,Los Angeles-651 Mott Street,23,Parts Per Million ( ppm ) 
2001-12-22,2899,0.097,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2001-12-22,2583,0.181,Lynwood,23,Parts Per Million ( ppm ) 
2001-12-22,2429,0.108,North Long Beach,23,Parts Per Million ( ppm ) 
2001-12-22,2160,0.045,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2001-12-22,2166,0.101,Pico Rivera,23,Parts Per Million ( ppm ) 
2001-12-22,2898,0.078,Pomona,23,Parts Per Million ( ppm ) 
2001-12-22,2420,0.055,Reseda,23,Parts Per Million ( ppm ) 
2001-12-22,3502,0.025,Santa Clarita,23,Parts Per Million ( ppm ) 
2001-12-22,2494,0.053,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2001-12-22,3509,0.087,Wilmington-1115 N.Mahar Avenue,23,Parts Per Million ( ppm ) 
2001-12-22,3674,0.073,Anaheim-Pampas Lane,24,Parts Per Million ( ppm ) 
2001-12-22,2937,0.067,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2001-12-22,2249,0.076,La Habra,23,Parts Per Million ( ppm ) 
2001-12-22,3168,0.012,Banning Airport,23,Parts Per Million ( ppm ) 
2001-12-22,2943,0.007,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2001-12-22,2596,0.082,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2001-12-22,2266,0.045,Fontana-Arrow Highway,23,Parts Per Million ( ppm ) 
2001-12-22,2221,0.054,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2001-12-22,2485,0.036,Upland,23,Parts Per Million ( ppm ) 
2001-12-22,2965,0.008,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2001-12-22,2671,0.003,Grover City-Lesage Drive,23,Parts Per Million ( ppm ) 
2001-12-22,2321,0.005,Morro Bay,23,Parts Per Million ( ppm ) 
2001-12-22,3251,0.004,Nipomo-Regional Park,23,Parts Per Million ( ppm ) 
2001-12-22,2709,0.011,San Luis Obispo-Marsh Street,23,Parts Per Million ( ppm ) 
2001-12-22,3003,0.000,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2001-12-22,2008,0.002,El Capitan Beach,21,Parts Per Million ( ppm ) 
