summary_date,site,no2_davg,name,obs_count,units 
2004-06-15,3487,0.001,Echo Summit,23,Parts Per Million ( ppm ) 
2004-06-15,3121,0.005,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2004-06-15,3658,0.016,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2004-06-15,2923,0.025,Barstow,23,Parts Per Million ( ppm ) 
2004-06-15,3215,0.004,Trona-Athol and Telegraph,23,Parts Per Million ( ppm ) 
2004-06-15,3500,0.027,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2004-06-15,3201,0.008,Mexicali-UABC,20,Parts Per Million ( ppm ) 
2004-06-15,3183,0.005,Rosarito,23,Parts Per Million ( ppm ) 
2004-06-15,3255,0.023,Tecate-Paseo Morelos,23,Parts Per Million ( ppm ) 
2004-06-15,3138,0.012,Tijuana-ITT,21,Parts Per Million ( ppm ) 
2004-06-15,3141,0.013,Tijuana-La Mesa,22,Parts Per Million ( ppm ) 
2004-06-15,3178,0.006,Tijuana-Las Playas,23,Parts Per Million ( ppm ) 
2004-06-15,3010,0.007,Ukiah-E Gobbi Street,23,Parts Per Million ( ppm ) 
2004-06-15,3116,0.008,Willits-899 S Main Street,23,Parts Per Million ( ppm ) 
2004-06-15,3489,0.006,Salinas-High School,24,Parts Per Million ( ppm ) 
2004-06-15,2329,0.004,Davenport,22,Parts Per Million ( ppm ) 
2004-06-15,2484,0.012,Azusa,23,Parts Per Million ( ppm ) 
2004-06-15,2492,0.027,Burbank-W Palm Avenue,23,Parts Per Million ( ppm ) 
2004-06-15,2849,0.023,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2004-06-15,2899,0.027,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2004-06-15,3683,0.016,Los Angeles-Westchester Parkway,19,Parts Per Million ( ppm ) 
2004-06-15,2583,0.018,Lynwood,19,Parts Per Million ( ppm ) 
2004-06-15,2429,0.011,North Long Beach,23,Parts Per Million ( ppm ) 
2004-06-15,2160,0.020,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2004-06-15,2898,0.019,Pomona,23,Parts Per Million ( ppm ) 
2004-06-15,2420,0.013,Reseda,23,Parts Per Million ( ppm ) 
2004-06-15,3502,0.028,Santa Clarita,23,Parts Per Million ( ppm ) 
2004-06-15,2494,0.009,West Los Angeles-VA Hospital,23,Parts Per Million ( ppm ) 
2004-06-15,3674,0.004,Anaheim-Pampas Lane,23,Parts Per Million ( ppm ) 
2004-06-15,2937,0.004,Costa Mesa-Mesa Verde Drive,23,Parts Per Million ( ppm ) 
2004-06-15,2249,0.022,La Habra,23,Parts Per Million ( ppm ) 
2004-06-15,2943,0.012,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2004-06-15,2596,0.009,Riverside-Rubidoux,23,Parts Per Million ( ppm ) 
2004-06-15,2266,0.024,Fontana-Arrow Highway,22,Parts Per Million ( ppm ) 
2004-06-15,2221,0.027,San Bernardino-4th Street,22,Parts Per Million ( ppm ) 
2004-06-15,2485,0.024,Upland,23,Parts Per Million ( ppm ) 
2004-06-15,2965,0.007,Atascadero-Lewis Avenue,23,Parts Per Million ( ppm ) 
2004-06-15,2671,0.002,Grover City-Lesage Drive,23,Parts Per Million ( ppm ) 
2004-06-15,2321,0.003,Morro Bay,23,Parts Per Million ( ppm ) 
2004-06-15,3251,0.003,Nipomo-Regional Park,22,Parts Per Million ( ppm ) 
2004-06-15,2709,0.006,San Luis Obispo-Marsh Street,23,Parts Per Million ( ppm ) 
2004-06-15,3003,0.000,Carpinteria-Gobernador Road,23,Parts Per Million ( ppm ) 
2004-06-15,2008,0.006,El Capitan Beach,23,Parts Per Million ( ppm ) 
2004-06-15,2954,0.010,Gaviota-GTC Site B,23,Parts Per Million ( ppm ) 
2004-06-15,3153,0.007,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2004-06-15,3101,0.003,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2004-06-15,2992,0.002,Lompoc-HSandP,21,Parts Per Million ( ppm ) 
2004-06-15,2360,0.004,Lompoc-S H Street,23,Parts Per Million ( ppm ) 
2004-06-15,2957,0.002,Paradise Road-Los Padres National Forest,23,Parts Per Million ( ppm ) 
2004-06-15,3665,0.008,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
