summary_date,site,monitor,pm25_davg,name,obs_count 
2007-01-15,3151,A,1.0,Death Valley Natl Monument,24 
2007-01-15,3154,A,2.0,Keeler-Cerro Gordo Road,24 
2007-01-15,3707,A,1.0,Hoover,24 
2007-01-15,3698,A,0.9,Bliss State Park,24 
2007-01-15,3018,A,1.5,Yosemite Natl Park-Turtleback Dome,24 
2007-01-15,2353,A,21.9,Yosemite Village-Visitor Center,24 
2007-01-15,3126,B,16.8,Grass Valley-Litton Building,24 
2007-01-15,2208,A,9.0,Truckee-Fire Station,24 
2007-01-15,2208,C,13.5,Truckee-Fire Station,24 
2007-01-15,3128,C,8.8,Chester-222 1st Avenue,24 
2007-01-15,3494,E,15.3,Portola-161 Nevada Street,24 
2007-01-15,3020,C,36.3,Quincy-N Church Street,24 
2007-01-15,3152,A,1.2,Joshua Tree NP - Black Rock,24 
2007-01-15,3016,A,2.0,Redwood Natl Park-Requa,24 
2007-01-15,2386,A,33.8,Eureka-I Street,24 
2007-01-15,3711,A,1.7,Trinity,24 
2007-01-15,2983,A,6.8,Pinnacles National Monument,24 
2007-01-15,3150,A,1.0,Lava Beds Natl Monument,24 
2007-01-15,2484,A,12.6,Azusa,24 
2007-01-15,3701,A,2.3,Lebec-Peace Valley Road,24 
2007-01-15,3701,B,0.8,Lebec-Peace Valley Road,24 
2007-01-15,2899,F,6.2,Los Angeles-North Main Street,24 
2007-01-15,2429,A,29.3,North Long Beach,24 
2007-01-15,2160,A,18.3,Pasadena-S Wilson Avenue,24 
2007-01-15,3693,A,30.7,Pico Rivera-4144 San Gabriel,24 
2007-01-15,2420,A,1.9,Reseda,24 
2007-01-15,3674,A,11.8,Anaheim-Pampas Lane,24 
2007-01-15,3708,A,1.5,Agua Tibia,24 
2007-01-15,3702,A,2.7,Mira Loma Van Buren,24 
2007-01-15,2596,C,3.4,Riverside-Rubidoux,24 
2007-01-15,2596,D,5.5,Riverside-Rubidoux,24 
2007-01-15,2266,A,2.1,Fontana-Arrow Highway,24 
2007-01-15,3700,A,1.1,San Gorgonio Wilderness,24 
2007-01-15,3710,A,1.4,San Rafael Wilderness,24 
2007-01-15,3665,C,12.8,Santa Barbara-700 East Canon Perdido,24 
2007-01-15,3486,C,3.3,Santa Maria-906 S Broadway,24 
2007-01-15,2991,A,3.7,El Rio-Rio Mesa School #2,24 
2007-01-15,2991,C,1.9,El Rio-Rio Mesa School #2,24 
2007-01-15,3172,A,6.6,Ojai-Ojai Avenue,24 
2007-01-15,3505,B,3.0,Piru-3301 Pacific Avenue,24 
