summary_date,site,ozone_davg,name,obs_count,units 
2011-06-15,3151,0.067,Death Valley Natl Monument,19,Parts Per Million ( ppm ) 
2011-06-15,2914,0.033,Lakeport-Lakeport Blvd,23,Parts Per Million ( ppm ) 
2011-06-15,2993,0.040,Jackson-Clinton Road,23,Parts Per Million ( ppm ) 
2011-06-15,3144,0.044,San Andreas-Gold Strike Road,21,Parts Per Million ( ppm ) 
2011-06-15,3196,0.049,Cool-Highway 193,23,Parts Per Million ( ppm ) 
2011-06-15,3017,0.053,Placerville-Gold Nugget Way,23,Parts Per Million ( ppm ) 
2011-06-15,3161,0.056,Jerseydale - 6440 Jerseydale,23,Parts Per Million ( ppm ) 
2011-06-15,3018,0.061,Yosemite Natl Park-Turtleback Dome,24,Parts Per Million ( ppm ) 
2011-06-15,3126,0.050,Grass Valley-Litton Building,24,Parts Per Million ( ppm ) 
2011-06-15,3157,0.057,White Cloud Mountain,23,Parts Per Million ( ppm ) 
2011-06-15,3002,0.046,Colfax-City Hall,24,Parts Per Million ( ppm ) 
2011-06-15,2968,0.046,Sonora-Barretta Street,21,Parts Per Million ( ppm ) 
2011-06-15,3121,0.072,Mojave-923 Poole Street,23,Parts Per Million ( ppm ) 
2011-06-15,3658,0.062,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2011-06-15,3673,0.044,Blythe-445 West Murphy Street,23,Parts Per Million ( ppm ) 
2011-06-15,2923,0.061,Barstow,23,Parts Per Million ( ppm ) 
2011-06-15,2650,0.081,Hesperia-Olive Street,24,Parts Per Million ( ppm ) 
2011-06-15,3152,0.077,Joshua Tree NP - Black Rock,24,Parts Per Million ( ppm ) 
2011-06-15,2830,0.072,Phelan-Beekley Road and Phelan Road,24,Parts Per Million ( ppm ) 
2011-06-15,3500,0.052,Victorville-14306 Park Avenue,23,Parts Per Million ( ppm ) 
2011-06-15,3716,0.029,Eureka-Jacobs,19,Parts Per Million ( ppm ) 
2011-06-15,3010,0.020,Ukiah-E Gobbi Street,24,Parts Per Million ( ppm ) 
2011-06-15,2016,0.024,Carmel Valley-Ford Road,24,Parts Per Million ( ppm ) 
2011-06-15,3726,0.028,King City-415 Pearl Street,24,Parts Per Million ( ppm ) 
2011-06-15,3489,0.029,Salinas-High School,22,Parts Per Million ( ppm ) 
2011-06-15,2983,0.041,Pinnacles National Monument,24,Parts Per Million ( ppm ) 
2011-06-15,2329,0.022,Davenport,24,Parts Per Million ( ppm ) 
2011-06-15,3200,0.023,Santa Cruz AMS,24,Parts Per Million ( ppm ) 
2011-06-15,2752,0.038,Yreka-Foothill Drive,23,Parts Per Million ( ppm ) 
2011-06-15,2484,0.025,Azusa,23,Parts Per Million ( ppm ) 
2011-06-15,2492,0.023,Burbank-W Palm Avenue,20,Parts Per Million ( ppm ) 
2011-06-15,3743,0.030,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
2011-06-15,2849,0.025,Glendora-Laurel,20,Parts Per Million ( ppm ) 
2011-06-15,3774,0.026,Long Beach-2425 Webster Street          ,22,Parts Per Million ( ppm ) 
