summary_date,site,co_davg,name,obs_count,units 
2015-10-01,3658,0.159,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2015-10-01,3500,0.380,Victorville-14306 Park Avenue,22,Parts Per Million ( ppm ) 
2015-10-01,3779,0.100,Eureka-Humboldt Hill                    ,24,Parts Per Million ( ppm ) 
2015-10-01,3716,0.221,Eureka-Jacobs,24,Parts Per Million ( ppm ) 
2015-10-01,3489,0.442,Salinas-High School,24,Parts Per Million ( ppm ) 
2015-10-01,2484,0.351,Azusa,21,Parts Per Million ( ppm ) 
2015-10-01,3743,0.554,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
2015-10-01,2849,0.211,Glendora-Laurel,23,Parts Per Million ( ppm ) 
2015-10-01,3774,0.268,Long Beach-2425 Webster Street          ,23,Parts Per Million ( ppm ) 
2015-10-01,2899,0.423,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2015-10-01,3683,0.386,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2015-10-01,2160,0.195,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2015-10-01,2898,0.202,Pomona,23,Parts Per Million ( ppm ) 
2015-10-01,2420,0.545,Reseda,23,Parts Per Million ( ppm ) 
2015-10-01,3502,0.167,Santa Clarita,23,Parts Per Million ( ppm ) 
2015-10-01,2494,0.344,West Los Angeles-VA Hospital,22,Parts Per Million ( ppm ) 
2015-10-01,3809,0.844,Anaheim-812 W Vermont Street            ,24,Parts Per Million ( ppm ) 
2015-10-01,3674,0.381,Anaheim-Pampas Lane,22,Parts Per Million ( ppm ) 
2015-10-01,2937,0.133,Costa Mesa-Mesa Verde Drive,21,Parts Per Million ( ppm ) 
2015-10-01,2249,0.221,La Habra,23,Parts Per Million ( ppm ) 
2015-10-01,3265,0.040,Mission Viejo-26081 Via Pera,23,Parts Per Million ( ppm ) 
2015-10-01,2943,0.147,Lake Elsinore-W Flint Street,23,Parts Per Million ( ppm ) 
2015-10-01,3702,0.196,Mira Loma Van Buren,23,Parts Per Million ( ppm ) 
2015-10-01,2596,0.407,Riverside-Rubidoux,24,Parts Per Million ( ppm ) 
2015-10-01,3820,0.568,Ontario-NW Corner I-10 and Etiwanda Ave ,24,Parts Per Million ( ppm ) 
2015-10-01,2221,0.434,San Bernardino-4th Street,23,Parts Per Million ( ppm ) 
2015-10-01,2485,0.432,Upland,23,Parts Per Million ( ppm ) 
2015-10-01,3153,0.204,Goleta-Fairview,23,Parts Per Million ( ppm ) 
2015-10-01,3101,0.000,Las Flores Canyon #1,23,Parts Per Million ( ppm ) 
2015-10-01,3665,0.199,Santa Barbara-700 East Canon Perdido,23,Parts Per Million ( ppm ) 
2015-10-01,3486,0.181,Santa Maria-906 S Broadway,23,Parts Per Million ( ppm ) 
2015-10-01,3806,0.302,El Cajon-Floyd Smith Drive,20,Parts Per Million ( ppm ) 
2015-10-01,3690,0.267,San Diego-1110 Beardsley Street,21,Parts Per Million ( ppm ) 
2015-10-01,3821,0.532,San Diego-11403 Rancho Carmel Dr        ,19,Parts Per Million ( ppm ) 
2015-10-01,3803,0.509,Oakland-Laney College                   ,23,Parts Per Million ( ppm ) 
2015-10-01,3742,0.524,Oakland-West,23,Parts Per Million ( ppm ) 
2015-10-01,2804,0.417,Bethel Island Road,23,Parts Per Million ( ppm ) 
2015-10-01,2831,0.248,Concord-2956-A Treat Blvd,23,Parts Per Million ( ppm ) 
2015-10-01,3668,0.492,San Pablo-Rumrill Blvd,23,Parts Per Million ( ppm ) 
2015-10-01,2622,0.397,San Rafael,23,Parts Per Million ( ppm ) 
2015-10-01,2655,0.390,Napa-Jefferson Avenue,23,Parts Per Million ( ppm ) 
2015-10-01,2373,0.440,San Francisco-Arkansas Street,23,Parts Per Million ( ppm ) 
2015-10-01,2125,0.458,Redwood City,23,Parts Per Million ( ppm ) 
2015-10-01,3661,0.379,San Jose-Jackson Street,22,Parts Per Million ( ppm ) 
2015-10-01,3810,0.751,San Jose-Knox Avenue                    ,23,Parts Per Million ( ppm ) 
2015-10-01,2410,0.189,Vallejo-304 Tuolumne Street,23,Parts Per Million ( ppm ) 
2015-10-01,3804,0.375,Sebastopol-103 Morris Street            ,20,Parts Per Million ( ppm ) 
2015-10-01,3026,0.177,Clovis-N Villa Avenue,22,Parts Per Million ( ppm ) 
2015-10-01,3781,0.189,Fresno-Garland                          ,24,Parts Per Million ( ppm ) 
2015-10-01,3787,0.230,Bakersfield-Municipal Airport,20,Parts Per Million ( ppm ) 
2015-10-01,2094,0.247,Stockton-Hazelton Street,23,Parts Per Million ( ppm ) 
2015-10-01,2833,0.237,Modesto-14th Street,23,Parts Per Million ( ppm ) 
2015-10-01,3135,0.216,Calexico-Ethel Street,23,Parts Per Million ( ppm ) 
2015-10-01,2199,0.114,Palm Springs-Fire Station,22,Parts Per Million ( ppm ) 
2015-10-01,3783,0.188,Chico-East Avenue                       ,23,Parts Per Million ( ppm ) 
2015-10-01,2123,0.425,North Highlands-Blackfoot Way,24,Parts Per Million ( ppm ) 
2015-10-01,2731,0.313,Sacramento-Del Paso Manor,24,Parts Per Million ( ppm ) 
2015-10-01,3738,0.317,Sacramento-Goldenland Court,23,Parts Per Million ( ppm ) 
2015-10-02,3658,0.131,Lancaster-43301 Division Street,23,Parts Per Million ( ppm ) 
2015-10-02,3500,0.270,Victorville-14306 Park Avenue,19,Parts Per Million ( ppm ) 
2015-10-02,3779,0.100,Eureka-Humboldt Hill                    ,24,Parts Per Million ( ppm ) 
2015-10-02,3716,0.204,Eureka-Jacobs,24,Parts Per Million ( ppm ) 
2015-10-02,3489,0.421,Salinas-High School,24,Parts Per Million ( ppm ) 
2015-10-02,2484,0.303,Azusa,22,Parts Per Million ( ppm ) 
2015-10-02,3743,0.510,Compton-700 North Bullis Road,22,Parts Per Million ( ppm ) 
2015-10-02,2849,0.159,Glendora-Laurel,21,Parts Per Million ( ppm ) 
2015-10-02,3774,0.269,Long Beach-2425 Webster Street          ,23,Parts Per Million ( ppm ) 
2015-10-02,2899,0.346,Los Angeles-North Main Street,23,Parts Per Million ( ppm ) 
2015-10-02,3683,0.329,Los Angeles-Westchester Parkway,23,Parts Per Million ( ppm ) 
2015-10-02,2160,0.133,Pasadena-S Wilson Avenue,23,Parts Per Million ( ppm ) 
2015-10-02,3693,0.329,Pico Rivera-4144 San Gabriel,23,Parts Per Million ( ppm ) 
2015-10-02,2898,0.129,Pomona,23,Parts Per Million ( ppm ) 
2015-10-02,2420,0.395,Reseda,23,Parts Per Million ( ppm ) 
2015-10-02,3502,0.103,Santa Clarita,23,Parts Per Million ( ppm ) 
